id,producer_id,name,name_short,variant_name,variant_name_short,model_name,erp_product_id,shop_id,shop_variant_id,show_from,show_to,ean,parent_product_id,product_availability_id,price_selling,price_old,has_variant,vat_rate_id,product_category_id,producer_code,season,date_created,partner_id,sold_out_score,category1,category2,category3,category4,producer
546824,748,Svítilna a lapač hmyzu Sorbo Camping Lantern Zapper - zelená,Svítilna a lapač hmyzu Sorbo Camping Lantern Zapper,Barva: zelená,zelená,Camping Lantern Zapper,775462,187558,1157067,2026-04-07 00:00:00,2036-04-20 00:00:00,788364272355,546822,2,999,1499,,1,355,SB_6533,SS26,2026-04-21 00:59:55,,1,Vybavení,"Hygiena, ochrana, první pomoc",Repelenty,Repelenty,Sorbo
537151,26,Cyklistické návleky na ruce Silvini Scalda Arm - S-M,Cyklistické návleky na ruce Silvini Scalda Arm,Velikost: S-M,S-M,Scalda Arm,776026,184788,1135195,2026-04-19 00:00:00,2026-04-19 00:00:00,8596016238992,537150,1,499,499,,1,620,UA2643-0808,SS26,2026-04-21 00:59:55,,0,Oblečení,Doplňky k oblečení,Návleky,Cyklistické návleky,Silvini
481479,302,Dámská bunda La Sportiva Pinnacle Down Jkt W - M / modrá/růžová,Dámská bunda La Sportiva Pinnacle Down Jkt W,Velikost: M / Barva: modrá/růžová,M / modrá/růžová,Pinnacle Down Jkt W,711182,139076,1005589,2025-10-08 00:00:00,2036-04-20 00:00:00,8058428184477,375568,1,3989,6099,,1,210,ZASJ098,FW25,2026-04-21 00:59:55,,0,Oblečení,Bundy,Zimní bundy,Dámské zimní bundy,La Sportiva
13533,199,Dehydrované jídlo Travellunch Hovězí stroganoff s rýží 125 g,Dehydrované jídlo Travellunch Hovězí stroganoff s rýží 125 g,,,Hovězí stroganoff s rýží 125 g,9900,24082,,2026-04-19 00:00:00,2026-04-19 00:00:00,4008097501338,,1,209,209,,2,413,50133,SS26,2026-04-21 00:59:55,,,Vybavení,Vaření a jídlo,Jídlo na cesty - MRE,Hlavní jídlo,Travellunch
45475,79,"Dámské boty Meindl Kansas Lady GTX Altloden - 41,5 (7,5) / tmavě hnědá",Dámské boty Meindl Kansas Lady GTX Altloden,"Velikost bot (EU): 41,5 (7,5) / Barva: tmavě hnědá","41,5 (7,5) / tmavě hnědá",Kansas Lady GTX Altloden,380,12892,33936,2025-01-13 00:00:00,2036-04-20 00:00:00,4033157705111,4052,2,5399,5999,,1,258,"2891-15_7,5",SS26,2026-04-21 00:59:55,,0.4,Boty,Trekové boty,Dámské trekové boty,Dámské kotníkové trekové boty,Meindl
453567,308,Dámské kraťasy Columbia Weekend Rays™ Water Short - L / černá,Dámské kraťasy Columbia Weekend Rays™ Water Short,Velikost: L / Barva: černá,L / černá,Weekend Rays™ Water Short,688427,159009,942432,2026-04-01 00:00:00,2036-04-20 00:00:00,195982379760,453563,2,1259,1399,,1,116,2114784010,SS26,2026-04-21 00:59:55,,1,Oblečení,Kraťasy a 3/4 kalhoty,Dámské kraťasy a 3/4 kalhoty,Dámské kraťasy a 3/4 kalhoty,Columbia
523467,425,"Pánské běžecké boty Altra Lone Peak 9+ GTX - 44,5 / zelená",Pánské běžecké boty Altra Lone Peak 9+ GTX,"Velikost bot (EU): 44,5 / Barva: zelená","44,5 / zelená",Lone Peak 9+ GTX,750291,180210,1103793,2026-02-23 00:00:00,2036-04-20 00:00:00,198266741666,523446,2,4390,4390,,1,452,AL0A85UT,SS26,2026-04-21 00:59:55,,0.7,Boty,Běžecké boty,Pánské běžecké boty,Pánské běžecké boty,Altra
430004,486,Dámské šaty Sam73 Rita,Dámské šaty Sam73 Rita,,,Rita,661940,151576,,2025-01-13 00:00:00,2036-04-19 00:00:00,,,2,359,799,true,1,795,,,2026-04-21 00:59:55,,1,Oblečení,Sukně a šaty,Sportovní šaty,Sportovní šaty,Sam73
526968,702,Dámské boty Froddo Barefoot laces - 41 / tmavě modrá,Dámské boty Froddo Barefoot laces,Velikost bot (EU): 41 / Barva: tmavě modrá,41 / tmavě modrá,Barefoot laces,758720,181870,1111191,2026-04-06 00:00:00,2036-04-21 00:00:00,3850391960233,526949,1,1629,1889,,1,561,G3130294-2,SS26,2026-04-21 00:59:55,,0.1,Boty,Barefoot boty,Dámské barefoot boty,Dámské barefoot boty,Froddo
103508,150,Dámská bunda Northfinder Northkit - L / černá,Dámská bunda Northfinder Northkit,Velikost: L / Barva: černá,L / černá,Northkit,39975,31839,105134,2026-04-01 00:00:00,2036-04-20 00:00:00,8585048760816,20690,2,1259,1399,,1,241,104368,SS26,2026-04-21 00:59:55,,0.6,Oblečení,Bundy,Přechodné jarní a podzimní bundy,Dámské jarní a podzimní bundy,Northfinder
